Project,Issue_id,Comment id,Jira URL,Label,Theme (Code),Theme (Coder 2),Theme (Coder 3)
HBASE,HBASE-15077,15092929,https://issues.apache.org/jira/browse/HBASE-15077,1,Unrelated Tests,Unrelated Tests,Configuration-related Issues
HBASE,HBASE-15496,15212707,https://issues.apache.org/jira/browse/HBASE-15496,1,Unrelated Tests,Unrelated Tests,Unknown
HBASE,HBASE-15915,15306377,https://issues.apache.org/jira/browse/HBASE-15915,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HBASE,HBASE-21959,16786009,https://issues.apache.org/jira/browse/HBASE-21959,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HBASE,HBASE-327,12545713,https://issues.apache.org/jira/browse/HBASE-327,1,Unrelated Tests,Environment Impact,Unrelated Tests
HBASE,HBASE-3271,13440105,https://issues.apache.org/jira/browse/HBASE-3271,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HDDS,HDDS-120,16687307,https://issues.apache.org/jira/browse/HDDS-120,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HDDS,HDDS-651,16651025,https://issues.apache.org/jira/browse/HDDS-651,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HDFS,HDFS-10710,15401907,https://issues.apache.org/jira/browse/HDFS-10710,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HDFS,HDFS-1132,12864584,https://issues.apache.org/jira/browse/HDFS-1132,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HDFS,HDFS-11998,16058102,https://issues.apache.org/jira/browse/HDFS-11998,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
HDFS,HDFS-12486,16174301,https://issues.apache.org/jira/browse/HDFS-12486,1,Unrelated Tests,Non-reproducible,Unrelated Tests
HDFS,HDFS-12985,16312136,https://issues.apache.org/jira/browse/HDFS-12985,1,Unrelated Tests,Unrelated Tests,Unrelated Tests
